Number persons been in that stage for that many days.
Age Group,Stage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Age_70_79,INFECTED_SYMPTOMS_MILD,0,12428,11009,9539,8631,7480,6611,5867,5204,4550,3929,3398,2950,2543,2188,1999,1729,1502,1206,995,918,785,654,530,462,422,365,297,286,242,162,151,132,106,90,79,68,60,53,44,36,29,22,24,20,12,14,15,6,11,7,5,7,4,1,2,4,1,1,0,6,2,4,1,2,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0
Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,99,74,77,53,56,52,45,46,37,28,18,19,19,14,16,10,11,9,11,6,10,6,4,3,4,5,4,3,1,2,0,2,3,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,316,253,216,200,143,122,107,96,78,77,43,52,42,25,28,31,21,11,12,12,10,4,3,5,3,4,1,6,0,2,3,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_70_79,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_70_79,CURED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_70_79,DEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_80_150,HEALTHY,0,74,70,82,88,84,86,108,121,127,128,145,148,189,192,205,223,260,269,301,334,378,406,440,491,542,580,634,693,793,878,939,1061,1193,1296,1439,1620,1788,1963,2200,2331,2578,2831,3115,3441,3733,3994,4387,4841,5247,5564,6108,6546,6936,7378,7747,8233,8706,9060,9621,10074,10243,10710,11010,11137,11589,11741,11865,11937,12045,12206,12124,12204,11978,12036,11812,11806,11509,11174,11003,10795
Age_80_150,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,42837,37278,31165,26874,22657,19450,16499,13843,11694,9919,8460,6874,5847,4948,4128,3294,2975,2368,1948,1590,1326,1047,901,759,602,489,427,292,232,217,182,130,92,87,69,44,39,31,27,23,13,14,11,11,4,7,5,0,5,2,3,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_80_150,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,66253,42550,26918,17121,10830,6905,4451,2744,1654,1130,695,420,259,150,98,61,44,22,25,10,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_80_150,INFECTED_SYMPTOMS_MILD,0,6322,5507,4886,4298,3821,3304,2874,2613,2282,2036,1757,1451,1259,1151,962,841,736,598,529,491,403,332,273,253,218,171,157,132,104,92,76,76,53,44,34,49,36,21,29,21,13,10,6,13,15,5,2,4,5,2,1,4,0,2,0,0,1,0,1,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,12,12,12,6,5,2,3,5,7,3,4,4,2,0,4,2,1,2,2,0,1,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,1140,973,819,684,572,500,370,369,283,261,204,166,138,127,88,77,56,36,43,31,29,20,15,15,10,12,6,3,8,3,7,2,4,1,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_80_150,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_80_150,CURED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_80_150,DEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
